,ncaa_name,bd_name_x,school_id,division_x,hitting,H9_x,BB9_x,2B-A9_x,3B-A9_x,HR-A9_x,SO9_x,SHA9_x,SFA9_x,GO9_x,FO9_x,RBI9_x,HitValue,bd_name_y,division_y,pitching,H9_y,BB9_y,2B-A9_y,3B-A9_y,HR-A9_y,SO9_y,SHA9_y,SFA9_y,GO9_y,FO9_y,RBI9_y,PitchValue,NetValue,RankDate
288,Wake Forest,Wake Forest,749,1,,,,,,,,,,,,,0.0,Wake Forest,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
287,Wagner,Wagner,748,1,,,,,,,,,,,,,0.0,Wagner,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
286,Virginia Tech,Virginia Tech,742,1,,,,,,,,,,,,,0.0,Virginia Tech,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
285,VCU,Virginia Commonwealth,740,1,,,,,,,,,,,,,0.0,Virginia Commonwealth,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
284,Virginia,Virginia,746,1,,,,,,,,,,,,,0.0,Virginia,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
283,Villanova,Villanova,739,1,,,,,,,,,,,,,0.0,Villanova,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
282,Vanderbilt,Vanderbilt,736,1,,,,,,,,,,,,,0.0,Vanderbilt,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
281,Valparaiso,Valparaiso,735,1,,,,,,,,,,,,,0.0,Valparaiso,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
280,VMI,VMI,741,1,,,,,,,,,,,,,0.0,VMI,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
279,Utah Valley,Utah Valley,30024,1,,,,,,,,,,,,,0.0,Utah Valley,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
278,Utah,Utah,732,1,,,,,,,,,,,,,0.0,Utah,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
277,UCLA,UCLA,110,1,,,,,,,,,,,,,0.0,UCLA,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
276,UC Santa Barbara,UC Santa Barbara,104,1,,,,,,,,,,,,,0.0,UC Santa Barbara,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
275,UC Riverside,UC Riverside,111,1,,,,,,,,,,,,,0.0,UC Riverside,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
290,Washington St.,Washington State,754,1,,,,,,,,,,,,,0.0,Washington State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
292,Western Caro.,Western Carolina,769,1,,,,,,,,,,,,,0.0,Western Carolina,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
273,UC Davis,UC Davis,108,1,,,,,,,,,,,,,0.0,UC Davis,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
293,Western Ill.,Western Illinois,771,1,,,,,,,,,,,,,0.0,Western Illinois,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
308,Merrimack,,410,1,,,,,,,,,,,,,0.0,,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
307,Purdue Fort Wayne,,308,1,,,,,,,,,,,,,0.0,,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
306,UC San Diego,,112,1,,,,,,,,,,,,,0.0,,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
305,Bellarmine,,52,1,,,,,,,,,,,,,0.0,,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
304,Youngstown St.,Youngstown State,817,1,,,,,,,,,,,,,0.0,Youngstown State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
303,Yale,Yale,813,1,,,,,,,,,,,,,0.0,Yale,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
302,Xavier,Xavier,812,1,,,,,,,,,,,,,0.0,Xavier,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
301,Wright St.,Wright State,810,1,,,,,,,,,,,,,0.0,Wright State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
300,Wofford,Wofford,2915,1,,,,,,,,,,,,,0.0,Wofford,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
299,Milwaukee,Wisconsin-Milwaukee,797,1,,,,,,,,,,,,,0.0,Wisconsin-Milwaukee,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
298,Winthrop,Winthrop,792,1,,,,,,,,,,,,,0.0,Winthrop,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
297,William & Mary,William and Mary,786,1,,,,,,,,,,,,,0.0,William and Mary,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
296,Wichita St.,Wichita State,782,1,,,,,,,,,,,,,0.0,Wichita State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
295,Western Mich.,Western Michigan,774,1,,,,,,,,,,,,,0.0,Western Michigan,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
294,Western Ky.,Western Kentucky,772,1,,,,,,,,,,,,,0.0,Western Kentucky,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
274,UC Irvine,UC Irvine,109,1,,,,,,,,,,,,,0.0,UC Irvine,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
272,Tulane,Tulane,718,1,718.0,,,,,,,,,,,,0.0,Tulane,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
156,Monmouth,Monmouth,439,1,,,,,,,,,,,,,0.0,Monmouth,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
251,Stetson,Stetson,678,1,,,,,,,,,,,,,0.0,Stetson,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
249,Stanford,Stanford,674,1,,,,,,,,,,,,,0.0,Stanford,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
248,Saint Peter’s,St. Peter’s,617,1,,,,,,,,,,,,,0.0,St. Peter’s,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
247,Saint Louis,St. Louis,609,1,,,,,,,,,,,,,0.0,St. Louis,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
246,Saint Joseph’s,St. Joseph’s,606,1,,,,,,,,,,,,,0.0,St. Joseph’s,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
245,St. John’s (NY),St. John’s,603,1,,,,,,,,,,,,,0.0,St. John’s,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
244,St. Bonaventure,St. Bonaventure,596,1,,,,,,,,,,,,,0.0,St. Bonaventure,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
243,Saint Mary’s (CA),St Mary’s,610,1,,,,,,,,,,,,,0.0,St Mary’s,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
